"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2024","219.29","221.70","221.60","217.51","18.93M","-1.56%"
"03/09/2024","222.77","228.55","229.00","221.17","50.19M","-2.72%"
"30/08/2024","229.00","230.19","230.40","227.48","52.99M","-0.34%"
"29/08/2024","229.79","230.10","232.92","228.88","51.91M","1.46%"
"28/08/2024","226.49","227.92","229.86","225.68","38.05M","-0.68%"
"27/08/2024","228.03","225.99","228.85","224.89","35.93M","0.37%"
"26/08/2024","227.18","226.76","227.28","223.89","30.60M","0.15%"
"23/08/2024","226.84","225.66","228.22","224.33","38.68M","1.03%"
"22/08/2024","224.53","227.79","228.34","223.90","43.70M","-0.83%"
"21/08/2024","226.40","226.52","227.98","225.05","34.77M","-0.05%"
"20/08/2024","226.51","225.77","227.17","225.45","30.30M","0.27%"
"19/08/2024","225.89","225.72","225.99","223.04","40.69M","-0.07%"
"16/08/2024","226.05","223.92","226.83","223.65","44.34M","0.59%"
"15/08/2024","224.72","224.60","225.35","222.76","46.41M","1.35%"
"14/08/2024","221.72","220.57","223.03","219.70","41.96M","0.20%"
"13/08/2024","221.27","219.01","221.89","219.01","44.16M","1.72%"
"12/08/2024","217.53","216.07","219.51","215.60","38.03M","0.60%"
"09/08/2024","216.24","212.10","216.78","211.97","42.20M","1.37%"
"08/08/2024","213.31","213.11","214.20","208.83","47.16M","1.66%"
"07/08/2024","209.82","206.90","213.64","206.39","63.52M","1.25%"
"06/08/2024","207.23","205.30","209.99","201.07","69.66M","-0.97%"
"05/08/2024","209.27","199.09","213.50","196.00","119.55M","-4.82%"